ï»¿(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B011AMCO2I,B011AMCO2I,"PRYMEÂ® EH-1369SC 2.5mm Acoustic Tube Listen Only Earpiece with 15"" Coiled Cord",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B011AMQCSK,B011AMQCSK,"PRYMEÂ® EH-1389SC 3.5mm Acoustic Tube Listen Only Earpiece with 15"" Coiled Cord",40,0,0.03%,0.00%,59,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B011APG8WM,B011APG8WM,Pryme Flesh Colored (Pink) Left Medium Flexible Open Ear Insert Earmold,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B011AQK91C,B011AQK91C,Pryme Flesh Colored (Pink) Right Medium Flexible Open Ear Insert Earmold,4,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B011D5CU44,B011D5CU44,Tactical Ear Gadgets EP1327QR Hawk Lapel Mic with Quick Release for M-A/Com Harris Jaguar,35,0,0.03%,0.00%,44,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B011WH9V40,B011WH9V40,Impact M11-P2W-AT1 Two-Wire Surveillance Earpiece with Acoustic Tube for Motorola APX and XPR Two Way Radios,24,1,0.02%,0.03%,38,1,0.02%,0.02%,69.70%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0125O0JP4,B0125O0JP4,Pryme SPM-2255 Trooper II Noise Cancelling Speaker Mic Hytera PD782 PD702 Radio,88,2,0.07%,0.05%,105,2,0.06%,0.04%,97.03%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0125PEN00,B0125PEN00,PRYMEÂ® LMC-1EH Earpiece Mic for Motorola SL7550 SL7580 SL7590 Radios,4,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B012YLZL38,B012YLZL38,"3 Pack Semi-Custom Open Ear Inserts - Right (Small, Medium, Large) by The Comm Guys",13,0,0.01%,0.00%,20,0,0.01%,0.00%,90.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B018MVACQK,B018MVACQK,Impact Brand QDAT-B Black Coiled Acoustic Tube w/Elbow and Ear Bud,13,0,0.01%,0.00%,21,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B018UWQO36,B018UWQO36,Impact Surveillance Earpiece with Acoustic Tube for HYT Hytera TC320 Radio,17,0,0.01%,0.00%,19,0,0.01%,0.00%,89.47%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B018UZYIGI,B018UZYIGI,Impact D-Ring Earhanger Earpiece for Kenwood 2-Pin Radio,2,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B018V160PS,B018V160PS,Impact Flexible Earhook Earpiece for Kenwood TK Series 2-Pin Radios,10,0,0.01%,0.00%,14,0,0.01%,0.00%,75.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0CRYKW7X8,B019PGR7Q4,PRYMEÂ® SPM-1383 Mirageâ¢ Wired Auxiliary Lapel Mic Surveillance Kit (1-Wire) with Noise Reducing Mic Element and Acoutistic Tube Earphone-for: Motorola APX and XPR63xx/65xx and 75xx Series Radios,11,1,0.01%,0.03%,15,5,0.01%,0.10%,10.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B019PHXJ4W,B019PHXJ4W,Pryme Quick Release Lapel Mic Earpiece for Motorola XTS5000 XTS3000 XTS2500 XTS3500,5,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01ATTM57C,B01ATTM57C,Power Products 12-Unit Rapid Charger for Tait TP Series Radios (See List),2,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01ATTPSCQ,B01ATTPSCQ,"Power Products 12-Unit Rapid Charger for Harris P7300, XG15, XG25, XG75 Radios",16,1,0.01%,0.03%,18,1,0.01%,0.02%,83.33%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01ATTROTQ,B01ATTROTQ,Power Products 12-Unit Rapid Charger for Harris Unity XG-100P Radios,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01ATTTTLC,B01ATTTTLC,Power Products 12-Unit Rapid Charger for Harris XG-100P P7100 P7200 700P Radios,6,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01AVPTXGA,B01AVPTXGA,Power Products Dual Unit Rapid Charger Compatible with Motorola APX6000 APX7000 APX8000 Radio,9,1,0.01%,0.03%,11,1,0.01%,0.02%,81.82%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01CH6WECQ,B01CH6WECQ,"Earphone Connection Falcon EP327QR Quick Release Lapel Microphone for Harris Jaguar 700P, P5100, P5130, P7100, P7130, P7150, P7170, P7200",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01CH7SWI0,B01CH7SWI0,Falcon EP334QR-PTT Quick Release Lapel Microphone for Motorola APX6000 APX7000 APX1000 APX4000 XPR Radio,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01CH9GCC6,B01CH9GCC6,"Earphone Connection Tactical Ear Gadgets Cougar 2-Wire Surveillance Earpiece EP4028QR with Quick Release for Harris P5300, P5400, P5500, P7300, XG15, XG25, XG75",14,3,0.01%,0.08%,19,4,0.01%,0.08%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01CJ3QPK4,B01CJ3QPK4,Ear Phone Connection Replacement Transducer Complete Kit,5,0,0.00%,0.00%,7,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01DWO5PWI,B01DWO5PWI,Tactical Ear Gadgets Hawk Lapel Microphone with Quick Release for Motorola HT1250 HT750 HT1550 (Black Tube),36,1,0.03%,0.03%,44,1,0.03%,0.02%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01DWOAHO4,B01DWOAHO4,"Earphone Connection Tactical Ear Gadgets Cougar 2-Wire Surveillance Earpiece EP4027QR with Quick Release for Harris Jaguar 700P, P5100, P5130, P7100, P7130, P7150, P7170, P7200 (Black Tube)",9,1,0.01%,0.03%,9,1,0.01%,0.02%,77.78%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01DWVQ2BE,B01DWVQ2BE,"Tactical Ear Gadgets EP1069SC Fox Listen Only Earpiece with Black Acoustic Tube, 2.5mm Jack",7,0,0.01%,0.00%,8,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01FT9HH2K,B01FT9HH2K,PRYMEÂ® SPM-103 Observer Speaker Mic for Motorola CP200 BPR40 and Other 2-Pin Radios,1,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01FT9J65G,B01FT9J65G,Pryme SPM-123 Observer Speaker Mic for Motorola XTS5000 XTS3000 XTS2500 Radio,4,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01FT9M4W8,B01FT9M4W8,Pryme SPM-183 Observer Speaker Mic for Motorola APX6000 APX4000 APX7000 XPR Series,3,1,0.00%,0.03%,7,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01FT9OM82,B01FT9OM82,PRYMEÂ® SPM-101 Observer Speaker Mic for Kenwood 2-Pin Radios,7,1,0.01%,0.03%,9,1,0.01%,0.02%,88.89%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01FTA8N1I,B01FTA8N1I,PRYMEÂ® SPM-100-H8 Observer Speaker Mic for Hytera X1e X1p PD602 PD662 PD682 Radio,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01FTARGOI,B01FTARGOI,Pryme SPM-603 SYNBERGY Speaker Mic for Motorola CP200 BPR40 and Other 2-Pin Radios,3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01FTB2J12,B01FTB2J12,PRYMEÂ® SPM-655 Synergy Speaker Mic for Hytera PD702 PD752 PD782 PD792,3,1,0.00%,0.03%,3,1,0.00%,0.02%,66.67%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01G2HJEU6,B01G2HJEU6,Left and Right Medium Flesh Pink Semi-Custom Open Ear Insert Earmolds,10,0,0.01%,0.00%,12,0,0.01%,0.00%,91.67%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01G9CW9GU,B01G9CW9GU,Impact 1-Wire Earpiece Lapel Mic for Kenwood 2-Pin Radios K1-G1W-AT1-HW (See List),20,5,0.02%,0.14%,27,6,0.02%,0.12%,88.46%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01G9DMRSY,B01G9DMRSY,Impact 1-Wire Earpiece Lapel Mic for Motorola Radio SL7550 SL7590 SL7580 M15-G1W-AT1-HW (See List),8,1,0.01%,0.03%,9,1,0.01%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01I2CO7CY,B01I2CO7CY,Rapid Desktop Charger for Motorola APX6000 APX7000 APX8000 Radio,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01LR8H0CY,B01LR8H0CY,Impact Earhook Earpiece Microphone for Hytera PD362 PD352 Radio,4,1,0.00%,0.03%,5,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01LYI7YC4,B01LYI7YC4,Impact 1-Wire Earpiece with D-Ring for Hytera 2-Pin Radios (with Screw),23,3,0.02%,0.08%,32,5,0.02%,0.10%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N0VOYMY,B01N0VOYMY,Earphone Connection Quick Release Adapter for Vertex Standard VX (See List),9,0,0.01%,0.00%,10,0,0.01%,0.00%,88.89%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B06Y5HKRFN,B06Y5HKRFN,PRYMEÂ® EH-1013XC Listen Only 3.5mm Screw-in Plug for Motorola Radios + Adapters,10,0,0.01%,0.00%,11,0,0.01%,0.00%,90.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B06Y5K8B76,B06Y5K8B76,PRYMEÂ® EH-1389X 30 Recon Listen Only Straight Cord 3.5mm Right Angle Plug,1,1,0.00%,0.03%,2,2,0.00%,0.04%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B06Y5MCQWN,B06Y5MCQWN,PRYMEÂ® SPM-3310 QD 3-Wire Headset for ICOM Multi-Pin Two-Way Radios (See List),2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B06Y5NGPWQ,B06Y5NGPWQ,Pryme EH-389XC Coil Cord Listen Only Earpiece with 3.5mm Right Angle Plug,26,1,0.02%,0.03%,32,2,0.02%,0.04%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B06Y5NM1J2,B06Y5NM1J2,PRYMEÂ® LMC-1EH-M11 Lapel Mic Earpiece for Motorola XPR 3300/3500 Series Radios,2,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B06Y5NNDDZ,B06Y5NNDDZ,Pryme EH-369XC Coil Cord Listen Only Earpiece with 2.5mm Right Angle Plug,3,0,0.00%,0.00%,3,0,0.00%,0.00%,66.67%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B06Y5RHD5P,B06Y5RHD5P,Pryme LMC-1EH-H8 Lapel Mic Earpiece for Hytera X1e X1p Z1p PD602/G 662/G 682/G,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B06Y5XYB38,B06Y5XYB38,Pryme SPM-3301 QD 3-Wire Surveillance Headset for Kenwood 2-Pin Two-Way Radios,4,1,0.00%,0.03%,8,4,0.00%,0.08%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B06ZY5WJTB,B06ZY5WJTB,"Earpieces EP-SL-SWVL Swivel Replacement Earpiece for Snaplock Radios, Black, Wired, RF, Headset, Radio Earpiece",13,1,0.01%,0.03%,16,1,0.01%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B06ZYBF2HH,B06ZYBF2HH,PRYMEÂ® SPM-3001 QD Sonic Surveillance Kit Headset for Kenwood 2-Pin 2-Way Radios,1,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B06ZYC6GTD,B06ZYC6GTD,Earpieces 1-Wire Earbud Headset Inline PTT for Hytera TC-320 Two-Way Radios,8,0,0.01%,0.00%,10,0,0.01%,0.00%,70.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B06ZYR1CZT,B06ZYR1CZT,Earpieces D-Ring Replacement for Snaplock 1-Wire 2-Wire 3-Wire Connector Radios,15,0,0.01%,0.00%,18,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07114DN4V,B07114DN4V,Pryme HLP-SNL-M43 Headset Boom Mic for Motorola APX XTL Series Mobile Radios,18,1,0.01%,0.03%,20,1,0.01%,0.02%,85.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0713Q3N6Z,B0713Q3N6Z,PRYMEÂ® HLP-SNL-M92J Headset Boom Mic for Yaesu FT + FTM Series Mobile Radios,43,1,0.03%,0.03%,54,1,0.03%,0.02%,68.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B071DH8WKD,B071DH8WKD,Hawk Lapel Mic for Motorola XTS Radios Includes Fin Ultra Earmolds,6,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B071FPBZHX,B071FPBZHX,Earpieces 2-Wire Acoustic Tube Clip-On PTT/Mic for HYT BD302 PD352 PD362 Radios (3 Year Warranty),2,0,0.00%,0.00%,2,0,0.00%,0.00%,50.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B071GZM629,B071GZM629,Earpieces 1-Wire D-Ring Microphone Inline PTT for Motorola 2-Pin Handheld Radios (3 Year Warranty),5,1,0.00%,0.03%,5,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B071J95962,B071J95962,Earpieces 1-Wire Acoustic Tube Mic Inline PTT for Motorola EF Johnson Radios (3 Year Warranty),1,1,0.00%,0.03%,1,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B071JZM118,B071JZM118,Earpieces Police Listen Only for Motorola Kenwood Vertex EFJohnson Harris Kenwood (3 Year Warranty),8,0,0.01%,0.00%,9,0,0.01%,0.00%,87.50%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B071R67V1N,B071R67V1N,Pryme SPM-3303 QD 3-Wire Surveillance Headset for Motorola 2-Pin (See List),1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B071RFFFZ6,B071RFFFZ6,PRYMEÂ® BTH-900-EMB Bluetooth Dual Ear Muff Racing Style Headset & Microphone,68,3,0.05%,0.08%,83,3,0.05%,0.06%,96.10%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B071XSX4PG,B071XSX4PG,Large Earhook Replacement Earpiece for Snaplock 1-Wire 2-Wire 3-Wire Connectors,5,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B071Y82MTJ,B071Y82MTJ,Earpieces 1-Wire Earhook Large Speaker + Inline PTT for Hytera TC-320 Radios,102,0,0.08%,0.00%,120,0,0.07%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B071Y8F91W,B071Y8F91W,1-Wire Acoustic Tube Earpiece Mic Inline PTT for Hytera TC-320 Two-Way Radios,6,0,0.00%,0.00%,9,0,0.01%,0.00%,57.14%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07227543L,B07227543L,HYT + Titan Behind The Head Dual Muff Boom Mic Cable for HS4 + HS8 Headsets,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0727NJGXP,B0727NJGXP,Pryme HLP-SNL-M83 Headset Boom Mic for Motorola MotoTRBO Series Mobile Radios,4,0,0.00%,0.00%,6,0,0.00%,0.00%,50.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B072L1KHQH,B072L1KHQH,PRYMEÂ® HLP-SAL-M02J Headset Boom Mic for Vertex VX EVX Series Mobile 2-Way Radios,2,0,0.00%,0.00%,3,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B072NY9CNS,B072NY9CNS,Pryme HLP-SNL-M33 Headset for Motorola CM GM CDM GR M PM SM MAXTRC Mobile Radios,5,1,0.00%,0.03%,6,2,0.00%,0.04%,83.33%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B072NZ1VZ6,B072NZ1VZ6,Pryme LMC-1AT-H3 Surveillance Earpiece for Hytera TC-500 600 700 PD500 Series,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B072NZX7G3,B072NZX7G3,Pryme LMC-1AT-H8 Surveillance Earpiece for HYT X1e X1p Z1p PD602/G 662/G 682/G,3,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B073ZK6B4R,B073ZK6B4R,2.5mm Police Listen Only D-Ring Earpiece Headset for Motorola Radio Speaker Mic,29,0,0.02%,0.00%,44,0,0.03%,0.00%,92.11%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B073ZLPM6P,B073ZLPM6P,Earpieces 1-Wire Earhook Inline PTT for Motorola MotoTRBO Series 2-Way Radios,10,0,0.01%,0.00%,14,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B073ZLVJHQ,B073ZLVJHQ,Earpieces 1-Wire Earhook Inline PTT for HYT Hytera PD-602 662 682 X1e X1p Z1p,15,0,0.01%,0.00%,17,0,0.01%,0.00%,93.33%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B073ZMSX8F,B073ZMSX8F,Earpieces 1-Wire Earhook Inline PTT for Vertex Standard EVX-S24 Two-Way Radios,15,2,0.01%,0.05%,18,4,0.01%,0.08%,94.44%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0746QRRNR,B0746QRRNR,LW Single Muff Adjustable Headset Boom Mic PTT for Motorola XPR3300e XPR3500e,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0746RZ31H,B0746RZ31H,Compact Size Speaker Microphone with 3.5mm Accessory Jack for Tait TP8100 9400,11,4,0.01%,0.11%,11,4,0.01%,0.08%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074G4JLD4,B074G4JLD4,Earpieces 1-Wire Swivel Mic Large Speaker + Inline PTT for Motorola 2-Pin Radios,12,1,0.01%,0.03%,12,1,0.01%,0.02%,91.67%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074G4W1F9,B074G4W1F9,Earpieces 1-Wire Swivel Mic Large Speaker + Inline PTT for Vertex EVX-S24 Radios,4,0,0.00%,0.00%,8,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074HD4FDQ,B074HD4FDQ,1-Wire Swivel Retail Earpiece PTT Mic Large Speaker for Kenwood PKT-23 Radios,5,0,0.00%,0.00%,6,0,0.00%,0.00%,83.33%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074JH897Y,B074JH897Y,PRYMEÂ® NBP-BH-M11 Bone Conduction Headset for Motorola MotoTRBO XPR 3300/3500,65,3,0.05%,0.08%,71,3,0.04%,0.06%,93.75%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074JHPTK5,B074JHPTK5,Pryme LMC-1GH-H8 G-Hook Earpiece for HYT X1e X1p Z1p PD602/G 662/G 682/G Radios,3,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074JHX2KV,B074JHX2KV,Pryme NBP-BH01 Bone Conduction Headset for Kenwood 2-Pin Side Connect Radios,412,11,0.32%,0.30%,516,16,0.30%,0.33%,99.11%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074JJ6B8D,B074JJ6B8D,PRYMEÂ® Bone Conduction Headset for HYT TC-508 518 580 610 620 700/EX PD502 562,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074JJVYY7,B074JJVYY7,Pryme NBP-BH20 Bone Conduction Headset for ICOM F9011 9021 4261 3261 4263DT,6,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074JJWCYZ,B074JJWCYZ,Pryme NEP-BH-23 Ear Bone Mic Earpiece for Motorola GP HT MT MTS MTXLS PRI XTS,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074JJYQPY,B074JJYQPY,"PRYMEÂ® Tactical Bone Conduction SWAT Headset Boom Mic, Compatible with Motorola XTS Series Radios",133,2,0.10%,0.05%,165,3,0.10%,0.06%,99.29%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074JK43XV,B074JK43XV,PRYMEÂ® NBP-BH55 Bone Conduction Headset for Hytera PD702/G 752 782/G 792 PT580H,5,0,0.00%,0.00%,11,0,0.01%,0.00%,66.67%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074JK8Q91,B074JK8Q91,Pryme NBP-BH30s Bone Conduction Headset for ICOM 2-Pin Side Connect w/Screws,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074JKHRCL,B074JKHRCL,Pryme NBP-BH10 Bone Conduction Headset for ICOM Multi-Pin Radios (See List),29,1,0.02%,0.03%,38,1,0.02%,0.02%,91.67%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074JKHTDD,B074JKHTDD,PRYMEÂ® Bone Conduction Headset for Harris P530 5400 7400 PD7100 Unity XG-75,2,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074JKJLDY,B074JKJLDY,Pryme NEP-BH-03 Ear Bone Mic Earpiece for Motorola 2-Pin Radios (See List),1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074JKSMZS,B074JKSMZS,Pryme NBP-BH03 Bone Conduction Headset for Motorola 2-Pin Side Connect Radios,63,1,0.05%,0.03%,86,2,0.05%,0.04%,94.29%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074JKT7W8,B074JKT7W8,PRYMEÂ® NBP-BH83 Bone Conduction Headset for Motorola Turbo APX XPR DP Series,23,4,0.02%,0.11%,36,5,0.02%,0.10%,80.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074JKVJHT,B074JKVJHT,PRYMEÂ® NBP-BH33 Bone Conduction Headset for HYT Hytera TC-980 Multi-Pin Radios,13,1,0.01%,0.03%,18,3,0.01%,0.06%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074JKXRWR,B074JKXRWR,PRYMEÂ® NBP-BH11 Bone Conduction Headset for Kenwood NEXEDGE NX TK 2-Way Radios,24,4,0.02%,0.11%,29,4,0.02%,0.08%,92.59%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074JLDTZW,B074JLDTZW,PRYMEÂ® NBP-BH43 Bone Conduction Headset for Motorola EX GL GP PRO (See List),5,0,0.00%,0.00%,6,0,0.00%,0.00%,60.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074KM35JN,B074KM35JN,Pryme NEP-BH-33 Ear Bone Mic Earpiece for Motorola GP HT JT MTX PRO PTX Radios,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074N8977M,B074N8977M,"Pryme Audio Adapter 2-Pin Radio Earpiece PA-HLN97M11, Compatible with Motorola XPR3300 XPR3500",267,12,0.21%,0.33%,352,18,0.21%,0.37%,98.04%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074N8HYTN,B074N8HYTN,PRYMEÂ® SMC-1LW03 Silhouette Shoulder Speaker Microphone for Motorola 2-Pin Two Way Radios,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074N94ZRD,B074N94ZRD,Pryme Observer SPM-100-M11 Speaker Mic for Motorola XPR 3300/3500 Series Radios,2,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074N97PFJ,B074N97PFJ,Observer Speaker Mic for Hytera TC-508 518 580 610 620 700/EX PD502 PD562,6,0,0.00%,0.00%,7,0,0.00%,0.00%,71.43%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B074PB474W,B074PB474W,Pryme Observer SPM-102 Speaker Mic for Vertex Standard FT VX VXF (See List),1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
